Domain name,CNAME name,Type,CNAME value
www.abdulqodir.com,_769b1f2a03725d4ddb7804fed00afe65.www.abdulqodir.com.,CNAME,_ea762bf5176d1b3262503d5899d35922.zfyfvmchrl.acm-validations.aws.
abdulqodir.com,_9597845564cb3f926c0929e0b642ae2e.abdulqodir.com.,CNAME,_2583d1b57e6934d546eeba2a9e46c0b0.zfyfvmchrl.acm-validations.aws.
